player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Yohan Benalouane,Centre-Back,1987-03-28,21,Tunisia,AS Saint-Étienne,Ligue 1,2008/2009,2008
Lounis Lanseur,Centre-Back,1989-01-16,19,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
Mehdi Messaoudi,Centre-Back,1989-03-08,19,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
Helton Dos Reis,Centre-Back,1988-05-01,20,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
David Sauget,Left-Back,1979-11-23,28,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
Yoann Andreu,Left-Back,1989-05-03,19,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
Mouhamadou Dabo,Right-Back,1986-11-28,21,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
Josuha Guilavogui,Defensive Midfield,1990-09-19,17,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
Boubacar Mansaly,Defensive Midfield,1988-02-04,20,Senegal,AS Saint-Étienne,Ligue 1,2008/2009,2008
Blaise Matuidi,Central Midfield,1987-04-09,21,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
Christophe Landrin,Central Midfield,1977-06-30,31,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
Yohan Hautcoeur,Central Midfield,1981-10-30,26,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
Paulo Machado,Central Midfield,1986-03-31,22,Portugal,AS Saint-Étienne,Ligue 1,2008/2009,2008
Amine Linganzi,Central Midfield,1989-11-16,18,Congo,AS Saint-Étienne,Ligue 1,2008/2009,2008
Daisuke Matsui,Left Midfield,1981-05-11,27,Japan,AS Saint-Étienne,Ligue 1,2008/2009,2008
Daniel Bilos,Left Midfield,1980-09-03,27,Argentina,AS Saint-Étienne,Ligue 1,2008/2009,2008
Dimitri Payet,Attacking Midfield,1987-03-29,21,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
Geoffrey Dernis,Left Winger,1980-12-24,27,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
Pascal Feindouno,Right Winger,1981-02-27,27,Guinea,AS Saint-Étienne,Ligue 1,2008/2009,2008
Kevin Mirallas,Right Winger,1987-10-05,20,Belgium,AS Saint-Étienne,Ligue 1,2008/2009,2008
Bafétimbi Gomis,Centre-Forward,1985-08-06,22,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
Ilan,Centre-Forward,1980-09-18,27,Brazil,AS Saint-Étienne,Ligue 1,2008/2009,2008
Sébastien Grax,Centre-Forward,1984-06-23,24,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
David Gigliotti,Centre-Forward,1985-05-30,23,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
Emmanuel Rivière,Centre-Forward,1990-03-03,18,France,AS Saint-Étienne,Ligue 1,2008/2009,2008
Mickaël Landreau,Goalkeeper,1979-05-14,29,France,Paris Saint-Germain,Ligue 1,2008/2009,2008
Apoula Edel,Goalkeeper,1986-06-17,22,Armenia,Paris Saint-Germain,Ligue 1,2008/2009,2008
Stéphane Véron,Goalkeeper,1986-01-31,22,France,Paris Saint-Germain,Ligue 1,2008/2009,2008
Sylvain Armand,Centre-Back,1980-08-01,27,France,Paris Saint-Germain,Ligue 1,2008/2009,2008
Zoumana Camara,Centre-Back,1979-04-03,29,France,Paris Saint-Germain,Ligue 1,2008/2009,2008
Grégory Bourillon,Centre-Back,1984-07-01,24,France,Paris Saint-Germain,Ligue 1,2008/2009,2008
Sammy Traoré,Centre-Back,1976-02-25,32,Mali,Paris Saint-Germain,Ligue 1,2008/2009,2008
Mamadou Sakho,Centre-Back,1990-02-13,18,France,Paris Saint-Germain,Ligue 1,2008/2009,2008
Larrys Mabiala,Centre-Back,1987-10-08,20,DR Congo,Paris Saint-Germain,Ligue 1,2008/2009,2008
Tripy Makonda,Left-Back,1990-01-24,18,France,Paris Saint-Germain,Ligue 1,2008/2009,2008
Ceará,Right-Back,1980-06-18,28,Brazil,Paris Saint-Germain,Ligue 1,2008/2009,2008
