player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Chris Gunter,Right-Back,1989-07-21,31,Wales,Charlton Athletic,League One,2020/2021,2020
Adam Matthews,Right-Back,1992-01-13,28,Wales,Charlton Athletic,League One,2020/2021,2020
Charlie Barker,Right-Back,2003-02-12,17,England,Charlton Athletic,League One,2020/2021,2020
Dylan Levitt,Central Midfield,2000-11-17,19,Wales,Charlton Athletic,League One,2020/2021,2020
Jake Forster-Caskey,Central Midfield,1994-04-25,26,England,Charlton Athletic,League One,2020/2021,2020
Alex Gilbey,Central Midfield,1994-12-09,25,England,Charlton Athletic,League One,2020/2021,2020
Darren Pratley,Central Midfield,1985-04-22,35,England,Charlton Athletic,League One,2020/2021,2020
Ben Watson,Central Midfield,1985-07-09,35,England,Charlton Athletic,League One,2020/2021,2020
Alfie Doughty,Left Midfield,1999-12-21,20,England,Charlton Athletic,League One,2020/2021,2020
Jonathan Williams,Attacking Midfield,1993-10-09,27,Wales,Charlton Athletic,League One,2020/2021,2020
Marcus Maddison,Attacking Midfield,1993-09-26,27,England,Charlton Athletic,League One,2020/2021,2020
Andrew Shinnie,Attacking Midfield,1989-07-17,31,Scotland,Charlton Athletic,League One,2020/2021,2020
Albie Morgan,Attacking Midfield,2000-02-02,20,England,Charlton Athletic,League One,2020/2021,2020
Chuks Aneke,Second Striker,1993-07-03,27,England,Charlton Athletic,League One,2020/2021,2020
Paul Smyth,Second Striker,1997-09-10,23,Northern Ireland,Charlton Athletic,League One,2020/2021,2020
Omar Bogle,Centre-Forward,1992-07-26,28,England,Charlton Athletic,League One,2020/2021,2020
Conor Washington,Centre-Forward,1992-05-18,28,Northern Ireland,Charlton Athletic,League One,2020/2021,2020
Joel Coleman,Goalkeeper,1995-09-26,25,England,Fleetwood Town,League One,2020/2021,2020
Jayson Leutwiler,Goalkeeper,1989-04-25,31,Canada,Fleetwood Town,League One,2020/2021,2020
Alex Cairns,Goalkeeper,1993-01-04,27,England,Fleetwood Town,League One,2020/2021,2020
Szymon Czajor,Goalkeeper,2001-09-19,19,Poland,Fleetwood Town,League One,2020/2021,2020
Charlie Mulgrew,Centre-Back,1986-03-06,34,Scotland,Fleetwood Town,League One,2020/2021,2020
Sam Stubbs,Centre-Back,1998-11-20,21,England,Fleetwood Town,League One,2020/2021,2020
Morgan Boyes,Centre-Back,2001-04-22,19,Wales,Fleetwood Town,League One,2020/2021,2020
James Hill,Centre-Back,2002-01-10,18,England,Fleetwood Town,League One,2020/2021,2020
Danny Andrew,Left-Back,1990-12-23,29,England,Fleetwood Town,League One,2020/2021,2020
Ryan Rydel,Left-Back,2001-02-09,19,England,Fleetwood Town,League One,2020/2021,2020
Tom Edwards,Right-Back,1999-01-22,21,England,Fleetwood Town,League One,2020/2021,2020
Callum Connolly,Defensive Midfield,1997-09-23,23,England,Fleetwood Town,League One,2020/2021,2020
Glenn Whelan,Defensive Midfield,1984-01-13,36,Ireland,Fleetwood Town,League One,2020/2021,2020
Jordan Rossiter,Central Midfield,1997-03-24,23,England,Fleetwood Town,League One,2020/2021,2020
Paul Coutts,Central Midfield,1988-07-22,32,Scotland,Fleetwood Town,League One,2020/2021,2020
Callum Camps,Central Midfield,1995-11-30,24,Northern Ireland,Fleetwood Town,League One,2020/2021,2020
Sam Finley,Central Midfield,1992-08-04,28,England,Fleetwood Town,League One,2020/2021,2020
Mark Duffy,Right Midfield,1985-10-07,35,England,Fleetwood Town,League One,2020/2021,2020
Josh Morris,Left Midfield,1991-09-30,29,England,Fleetwood Town,League One,2020/2021,2020
Barrie McKay,Left Winger,1994-12-31,25,Scotland,Fleetwood Town,League One,2020/2021,2020
Wes Burns,Right Winger,1994-11-23,25,Wales,Fleetwood Town,League One,2020/2021,2020
Shayden Morris,Right Winger,NA,NA,England,Fleetwood Town,League One,2020/2021,2020
Ched Evans,Centre-Forward,1988-12-28,31,Wales,Fleetwood Town,League One,2020/2021,2020
Paddy Madden,Centre-Forward,1990-03-04,30,Ireland,Fleetwood Town,League One,2020/2021,2020
Harvey Saunders,Centre-Forward,1997-07-20,23,England,Fleetwood Town,League One,2020/2021,2020
Gerard Garner,Centre-Forward,1998-11-02,22,England,Fleetwood Town,League One,2020/2021,2020
Simon Eastwood,Goalkeeper,1989-06-26,31,England,Oxford United,League One,2020/2021,2020
Jack Stevens,Goalkeeper,1997-08-02,23,England,Oxford United,League One,2020/2021,2020
Elliott Moore,Centre-Back,1997-03-16,23,England,Oxford United,League One,2020/2021,2020
John Mousinho,Centre-Back,1986-04-30,34,England,Oxford United,League One,2020/2021,2020
Robert Atkinson,Centre-Back,1998-07-13,22,England,Oxford United,League One,2020/2021,2020
Josh Ruffels,Left-Back,1993-10-23,27,England,Oxford United,League One,2020/2021,2020
Sam Long,Right-Back,1995-01-16,25,England,Oxford United,League One,2020/2021,2020
