shirt_number,position,name,date_of_birth,age,nationality,club_name,league_name
1,Keeper,Nícolas,1988-04-12,29,Brazil,Hellas Verona,Serie A
17,Keeper,Marco Silvestri,1991-03-02,26,Italy,Hellas Verona,Serie A
40,Keeper,Ferdinando Coppola,1978-06-10,39,Italy,Hellas Verona,Serie A
75,Centre-Back,Thomas Heurtaux,1988-07-03,29,France,Hellas Verona,Serie A
28,Centre-Back,Alex Ferrari,1994-07-01,23,Italy,Hellas Verona,Serie A
22,Centre-Back,Matteo Bianchetti,1993-03-17,24,Italy,Hellas Verona,Serie A
12,Centre-Back,Antonio Caracciolo,1990-06-30,27,Italy,Hellas Verona,Serie A
3,Centre-Back,Nicolò Cherubin,1986-12-02,31,Italy,Hellas Verona,Serie A
69,Left-Back,Samuel Souprayen,1989-02-02,28,France,Hellas Verona,Serie A
97,Left-Back,Gian Filippo Felicioli,1997-09-30,20,Italy,Hellas Verona,Serie A
19,Right-Back,Alejandro González,1988-03-23,29,Uruguay,Hellas Verona,Serie A
2,Central Midfield,Rômulo,1987-05-22,30,Italy,Hellas Verona,Serie A
24,Central Midfield,Daniel Bessa,1993-01-14,24,Italy,Hellas Verona,Serie A
8,Central Midfield,Marco Fossati,1992-10-05,25,Italy,Hellas Verona,Serie A
5,Central Midfield,Bruno Zuculini,1993-04-02,24,Argentina,Hellas Verona,Serie A
77,Central Midfield,Marcel Büchel,1991-03-18,26,Liechtenstein,Hellas Verona,Serie A
14,Central Midfield,Franco Zuculini,1990-09-05,27,Argentina,Hellas Verona,Serie A
27,Central Midfield,Mattia Valoti,1993-09-06,24,Italy,Hellas Verona,Serie A
20,Central Midfield,Mattia Zaccagni,1995-06-16,22,Italy,Hellas Verona,Serie A
23,Central Midfield,Simone Calvano,1993-07-11,24,Italy,Hellas Verona,Serie A
4,Central Midfield,Simon Laner,1984-01-28,33,Italy,Hellas Verona,Serie A
93,Left Wing,Mohamed Fares,1996-02-15,21,Algeria,Hellas Verona,Serie A
21,Left Wing,Seung-Woo Lee,1998-01-06,20,"Korea, South",Hellas Verona,Serie A
7,Right Wing,Daniele Verde,1996-06-20,21,Italy,Hellas Verona,Serie A
10,Right Wing,Alessio Cerci,1987-07-23,30,Italy,Hellas Verona,Serie A
37,Right Wing,Enrico Bearzotti,1996-10-29,21,Italy,Hellas Verona,Serie A
9,Centre-Forward,Moise Kean,2000-02-28,17,Italy,Hellas Verona,Serie A
11,Centre-Forward,Giampaolo Pazzini,1984-08-02,33,Italy,Hellas Verona,Serie A
1,Keeper,Vid Belec,1990-06-06,27,Slovenia,Benevento,Serie A
22,Keeper,Alberto Brignoli,1991-08-19,26,Italy,Benevento,Serie A
12,Keeper,Riccardo Piscitelli,1993-10-10,24,Italy,Benevento,Serie A
95,Centre-Back,Andrew Gravillon,1998-02-08,19,Guadeloupe,Benevento,Serie A
21,Centre-Back,Andrea Costa,1986-02-01,31,Italy,Benevento,Serie A
88,Centre-Back,Luca Antei,1992-04-19,25,Italy,Benevento,Serie A
5,Centre-Back,Fabio Lucioni,1987-09-25,30,Italy,Benevento,Serie A
6,Centre-Back,Berat Djimsiti,1993-02-19,24,Albania,Benevento,Serie A
29,Centre-Back,Jean-Claude Billong,1993-12-28,24,France,Benevento,Serie A
17,Left-Back,Gianluca Di Chiara,1993-12-26,24,Italy,Benevento,Serie A
NA,Left-Back,Nii Nortey Ashong,1994-11-17,23,Ghana,Benevento,Serie A
3,Right-Back,Gaetano Letizia,1990-06-29,27,Italy,Benevento,Serie A
23,Right-Back,Lorenzo Venuti,1995-04-12,22,Italy,Benevento,Serie A
18,Right-Back,Bright Gyamfi,1996-01-20,21,Ghana,Benevento,Serie A
8,Central Midfield,Danilo Cataldi,1994-08-06,23,Italy,Benevento,Serie A
13,Central Midfield,Raman Chibsah,1993-03-10,24,Ghana,Benevento,Serie A
14,Central Midfield,Nicolas Viola,1989-10-12,28,Italy,Benevento,Serie A
20,Central Midfield,Ledian Memushaj,1986-12-07,31,Albania,Benevento,Serie A
4,Central Midfield,Lorenzo Del Pinto,1990-06-17,27,Italy,Benevento,Serie A
NA,Right Midfield,Fabrizio Melara,1986-05-06,31,Italy,Benevento,Serie A
77,Left Midfield,Achraf Lazaar,1992-01-22,25,Morocco,Benevento,Serie A
7,Left Wing,Marco D'Alessandro,1991-02-17,26,Italy,Benevento,Serie A
24,Left Wing,Mamadou Kanoute,1993-10-07,24,Senegal,Benevento,Serie A
10,Right Wing,Amato Ciciretti,1993-12-31,24,Italy,Benevento,Serie A
26,Right Wing,Vittorio Parigini,1996-03-25,21,Italy,Benevento,Serie A
87,Right Wing,Cristiano Lombardi,1995-08-19,22,Italy,Benevento,Serie A
33,Centre-Forward,Pietro Iemmello,1992-03-06,25,Italy,Benevento,Serie A
90,Centre-Forward,Samuel Armenteros,1990-05-27,27,Sweden,Benevento,Serie A
11,Centre-Forward,Massimo Coda,1988-11-10,29,Italy,Benevento,Serie A
32,Centre-Forward,George Puscas,1996-04-08,21,Romania,Benevento,Serie A
97,Keeper,Alex Meret,1997-03-22,20,Italy,SPAL,Serie A
1,Keeper,Alfred Gomis,1993-09-05,24,Senegal,SPAL,Serie A
92,Keeper,Gabriele Marchegiani,1996-06-03,21,Italy,SPAL,Serie A
17,Keeper,Giacomo Poluzzi,1988-02-25,29,Italy,SPAL,Serie A
21,Centre-Back,Bartosz Salamon,1991-05-01,26,Poland,SPAL,Serie A
2,Centre-Back,Marios Oikonomou,1992-10-06,25,Greece,SPAL,Serie A
23,Centre-Back,Francesco Vicari,1994-08-03,23,Italy,SPAL,Serie A
27,Centre-Back,Felipe,1984-07-31,33,Brazil,SPAL,Serie A
6,Centre-Back,Michele Cremonesi,1988-04-15,29,Italy,SPAL,Serie A
15,Centre-Back,Sauli Väisänen,1994-06-05,23,Finland,SPAL,Serie A
5,Centre-Back,Fabio Della Giovanna,1997-03-21,20,Italy,SPAL,Serie A
12,Left-Back,Pa Konate,1994-04-25,23,Sweden,SPAL,Serie A
14,Right-Back,Federico Mattiello,1995-07-14,22,Italy,SPAL,Serie A
77,Defensive Midfield,Federico Viviani,1992-03-24,25,Italy,SPAL,Serie A
88,Central Midfield,Alberto Grassi,1995-03-07,22,Italy,SPAL,Serie A
11,Central Midfield,Luca Rizzo,1992-04-24,25,Italy,SPAL,Serie A
28,Central Midfield,Pasquale Schiattarella,1987-05-30,30,Italy,SPAL,Serie A
20,Central Midfield,Luca Mora,1988-05-10,29,Italy,SPAL,Serie A
24,Central Midfield,Mattia Vitale,1997-10-01,20,Italy,SPAL,Serie A
8,Central Midfield,Alessandro Bellemo,1995-08-07,22,Italy,SPAL,Serie A
18,Central Midfield,Eros Schiavon,1983-04-24,34,Italy,SPAL,Serie A
29,Right Midfield,Manuel Lazzari,1993-11-29,24,Italy,SPAL,Serie A
33,Left Midfield,Filippo Costa,1995-05-21,22,Italy,SPAL,Serie A
43,Centre-Forward,Alberto Paloschi,1990-01-04,28,Italy,SPAL,Serie A
9,Centre-Forward,Federico Bonazzoli,1997-05-21,20,Italy,SPAL,Serie A
7,Centre-Forward,Mirco Antenucci,1984-09-08,33,Italy,SPAL,Serie A
22,Centre-Forward,Marco Borriello,1982-06-18,35,Italy,SPAL,Serie A
10,Centre-Forward,Sergio Floccari,1981-11-12,36,Italy,SPAL,Serie A
1,Keeper,Alex Cordaz,1983-01-01,35,Italy,Crotone,Serie A
3,Keeper,Marco Festa,1992-06-06,25,Italy,Crotone,Serie A
78,Keeper,Aniello Viscovo,1999-06-21,18,Italy,Crotone,Serie A
7,Centre-Back,Federico Ceccherini,1992-05-11,25,Italy,Crotone,Serie A
93,Centre-Back,Arlind Ajeti,1993-09-25,24,Albania,Crotone,Serie A
34,Centre-Back,Stefan Simic,1995-01-20,22,Czech Republic,Crotone,Serie A
44,Centre-Back,Leandro Cabrera,1991-06-17,26,Uruguay,Crotone,Serie A
21,Centre-Back,Giuseppe Cuomo,1998-02-02,19,Italy,Crotone,Serie A
87,Left-Back,Bruno Martella,1992-08-14,25,Italy,Crotone,Serie A
20,Left-Back,Daniel Pavlovic,1988-04-22,29,Bosnia-Herzegovina,Crotone,Serie A
31,Right-Back,Mario Sampirisi,1992-10-31,25,Italy,Crotone,Serie A
38,Defensive Midfield,Rolando Mandragora,1997-06-29,20,Italy,Crotone,Serie A
8,Defensive Midfield,Aristóteles Romero,1995-10-18,22,Venezuela,Crotone,Serie A
10,Central Midfield,Andrea Barberis,1993-12-11,24,Italy,Crotone,Serie A
13,Central Midfield,Mariano Izco,1983-03-13,34,Argentina,Crotone,Serie A
14,Central Midfield,Cazim Suljic,1996-10-29,21,Bosnia-Herzegovina,Crotone,Serie A
6,Right Midfield,Marcus Rohdén,1991-05-11,26,Sweden,Crotone,Serie A
37,Right Midfield,Davide Faraoni,1991-10-25,26,Italy,Crotone,Serie A
11,Left Midfield,Oliver Kragl,1990-05-12,27,Germany,Crotone,Serie A
89,Left Midfield,Giovanni Crociata,1997-08-11,20,Italy,Crotone,Serie A
5,Left Wing,Adrian Stoian,1991-02-11,26,Romania,Crotone,Serie A
9,Right Wing,Andrea Nalini,1990-06-20,27,Italy,Crotone,Serie A
28,Right Wing,Giuseppe Borello,1999-04-28,18,Italy,Crotone,Serie A
24,Secondary Striker,Aleksandar Tonev,1990-02-03,27,Bulgaria,Crotone,Serie A
29,Centre-Forward,Marcello Trotta,1992-09-29,25,Italy,Crotone,Serie A
17,Centre-Forward,Ante Budimir,1991-07-22,26,Croatia,Crotone,Serie A
32,Centre-Forward,Marco Tumminello,1998-11-06,19,Italy,Crotone,Serie A
99,Centre-Forward,Simy,1992-05-07,25,Nigeria,Crotone,Serie A
1,Keeper,Kevin Trapp,1990-07-08,27,Germany,Paris SG,Ligue 1
16,Keeper,Alphonse Areola,1993-02-27,24,France,Paris SG,Ligue 1
5,Centre-Back,Marquinhos,1994-05-14,23,Brazil,Paris SG,Ligue 1
2,Centre-Back,Thiago Silva,1984-09-22,33,Brazil,Paris SG,Ligue 1
3,Centre-Back,Presnel Kimpembe,1995-08-13,22,France,Paris SG,Ligue 1
20,Left-Back,Layvin Kurzawa,1992-09-04,25,France,Paris SG,Ligue 1
17,Left-Back,Yuri Berchiche,1990-02-10,27,Spain,Paris SG,Ligue 1
12,Right-Back,Thomas Meunier,1991-09-12,26,Belgium,Paris SG,Ligue 1
32,Right-Back,Dani Alves,1983-05-06,34,Brazil,Paris SG,Ligue 1
31,Right-Back,Alec Georgen,1998-09-17,19,France,Paris SG,Ligue 1
8,Defensive Midfield,Thiago Motta,1982-08-28,35,Italy,Paris SG,Ligue 1
6,Central Midfield,Marco Verratti,1992-11-05,25,Italy,Paris SG,Ligue 1
25,Central Midfield,Adrien Rabiot,1995-04-03,22,France,Paris SG,Ligue 1
27,Central Midfield,Javier Pastore,1989-06-20,28,Argentina,Paris SG,Ligue 1
24,Central Midfield,Christopher Nkunku,1997-11-14,20,France,Paris SG,Ligue 1
21,Attacking Midfield,Hatem Ben Arfa,1987-03-07,30,France,Paris SG,Ligue 1
18,Attacking Midfield,Giovani Lo Celso,1996-04-09,21,Argentina,Paris SG,Ligue 1
10,Left Wing,Neymar,1992-02-05,25,Brazil,Paris SG,Ligue 1
23,Left Wing,Julian Draxler,1993-09-20,24,Germany,Paris SG,Ligue 1
11,Right Wing,Ángel Di María,1988-02-14,29,Argentina,Paris SG,Ligue 1
7,Right Wing,Lucas,1992-08-13,25,Brazil,Paris SG,Ligue 1
29,Centre-Forward,Kylian Mbappé,1998-12-20,19,France,Paris SG,Ligue 1
9,Centre-Forward,Edinson Cavani,1987-02-14,30,Uruguay,Paris SG,Ligue 1
1,Keeper,Danijel Subasic,1984-10-27,33,Croatia,Monaco,Ligue 1
16,Keeper,Diego Benaglio,1983-09-08,34,Switzerland,Monaco,Ligue 1
30,Keeper,Seydou Sy,1995-12-12,22,Senegal,Monaco,Ligue 1
40,Keeper,Loïc Badiashile,1998-02-05,19,France,Monaco,Ligue 1
25,Centre-Back,Kamil Glik,1988-02-03,29,Poland,Monaco,Ligue 1
5,Centre-Back,Jemerson,1992-08-24,25,Brazil,Monaco,Ligue 1
24,Centre-Back,Andrea Raggi,1984-06-24,33,Italy,Monaco,Ligue 1
6,Left-Back,Jorge,1996-03-28,21,Brazil,Monaco,Ligue 1
21,Left-Back,Julien Serrano,1998-02-13,19,France,Monaco,Ligue 1
19,Right-Back,Djibril Sidibé,1992-07-29,25,France,Monaco,Ligue 1
38,Right-Back,Almamy Touré,1996-04-28,21,Mali,Monaco,Ligue 1
2,Defensive Midfield,Fabinho,1993-10-23,24,Brazil,Monaco,Ligue 1
35,Defensive Midfield,Kévin N'Doram,1996-01-22,21,France,Monaco,Ligue 1
17,Central Midfield,Youri Tielemans,1997-05-07,20,Belgium,Monaco,Ligue 1
8,Central Midfield,João Moutinho,1986-09-08,31,Portugal,Monaco,Ligue 1
28,Central Midfield,Adama Traoré,1995-06-28,22,Mali,Monaco,Ligue 1
27,Left Wing,Thomas Lemar,1995-11-12,22,France,Monaco,Ligue 1
14,Left Wing,Keita Baldé,1995-03-08,22,Senegal,Monaco,Ligue 1
26,Left Wing,Gabriel Boschilia,1996-03-05,21,Brazil,Monaco,Ligue 1
7,Right Wing,Rachid Ghezzal,1992-05-09,25,Algeria,Monaco,Ligue 1
20,Right Wing,Rony Lopes,1995-12-28,22,Portugal,Monaco,Ligue 1
22,Right Wing,Jordi Mboula,1999-03-16,18,Spain,Monaco,Ligue 1
9,Centre-Forward,Falcao,1986-02-10,31,Colombia,Monaco,Ligue 1
10,Centre-Forward,Stevan Jovetic,1989-11-02,28,Montenegro,Monaco,Ligue 1
11,Centre-Forward,Guido Carrillo,1991-05-25,26,Argentina,Monaco,Ligue 1
15,Centre-Forward,Adama Diakhaby,1996-07-05,21,France,Monaco,Ligue 1
1,Keeper,Anthony Lopes,1990-10-01,27,Portugal,Olympique Lyon,Ligue 1
30,Keeper,Mathieu Gorgelin,1990-08-05,27,France,Olympique Lyon,Ligue 1
16,Keeper,Lucas Mocio,1994-05-11,23,France,Olympique Lyon,Ligue 1
2,Centre-Back,Mapou Yanga-Mbiwa,1989-05-15,28,France,Olympique Lyon,Ligue 1
6,Centre-Back,Marcelo,1987-05-20,30,Brazil,Olympique Lyon,Ligue 1
5,Centre-Back,Mouctar Diakhaby,1996-12-19,21,France,Olympique Lyon,Ligue 1
15,Centre-Back,Jérémy Morel,1984-04-02,33,France,Olympique Lyon,Ligue 1
22,Left-Back,Ferland Mendy,1995-06-08,22,France,Olympique Lyon,Ligue 1
20,Left-Back,Marçal,1989-02-19,28,Brazil,Olympique Lyon,Ligue 1
31,Left-Back,Louis Nganioni,1995-06-03,22,France,Olympique Lyon,Ligue 1
23,Right-Back,Kenny Tete,1995-10-09,22,Netherlands,Olympique Lyon,Ligue 1
4,Right-Back,Rafael,1990-07-09,27,Brazil,Olympique Lyon,Ligue 1
29,Defensive Midfield,Lucas Tousart,1997-04-29,20,France,Olympique Lyon,Ligue 1
12,Central Midfield,Jordan Ferri,1992-03-12,25,France,Olympique Lyon,Ligue 1
24,Central Midfield,Pape Cheikh,1997-08-08,20,Spain,Olympique Lyon,Ligue 1
28,Central Midfield,Tanguy NDombèlé,1996-12-28,21,France,Olympique Lyon,Ligue 1
7,Central Midfield,Clément Grenier,1991-01-07,27,France,Olympique Lyon,Ligue 1
8,Central Midfield,Houssem Aouar,1998-06-30,19,France,Olympique Lyon,Ligue 1
18,Attacking Midfield,Nabil Fekir,1993-07-18,24,France,Olympique Lyon,Ligue 1
11,Left Wing,Memphis Depay,1994-02-13,23,Netherlands,Olympique Lyon,Ligue 1
13,Left Wing,Willem Geubbels,2001-08-16,16,France,Olympique Lyon,Ligue 1
27,Right Wing,Maxwel Cornet,1996-09-27,21,Cote d'Ivoire,Olympique Lyon,Ligue 1
10,Right Wing,Bertrand Traoré,1995-09-06,22,Burkina Faso,Olympique Lyon,Ligue 1
9,Centre-Forward,Mariano Díaz,1993-08-01,24,Dominican Republic,Olympique Lyon,Ligue 1
17,Centre-Forward,Myziane Maolida,1999-02-14,18,France,Olympique Lyon,Ligue 1
19,Centre-Forward,Amine Gouiri,2000-02-16,17,France,Olympique Lyon,Ligue 1
30,Keeper,Steve Mandanda,1985-03-28,32,France,Marseille,Ligue 1
16,Keeper,Yohann Pelé,1982-11-04,35,France,Marseille,Ligue 1
40,Keeper,Florian Escales,1996-02-03,21,France,Marseille,Ligue 1
13,Centre-Back,Aymen Abdennour,1989-08-06,28,Tunisia,Marseille,Ligue 1
23,Centre-Back,Adil Rami,1985-12-27,32,France,Marseille,Ligue 1
3,Centre-Back,Dória,1994-11-08,23,Brazil,Marseille,Ligue 1
6,Centre-Back,Rolando,1985-08-31,32,Portugal,Marseille,Ligue 1
18,Left-Back,Jordan Amavi,1994-03-09,23,France,Marseille,Ligue 1
12,Left-Back,Henri Bedimo,1984-06-04,33,Cameroon,Marseille,Ligue 1
20,Left-Back,Christopher Rocchia,1998-02-01,19,France,Marseille,Ligue 1
2,Right-Back,Hiroki Sakai,1990-04-12,27,Japan,Marseille,Ligue 1
24,Right-Back,Rod Fanni,1981-12-06,36,France,Marseille,Ligue 1
19,Defensive Midfield,Luiz Gustavo,1987-07-23,30,Brazil,Marseille,Ligue 1
22,Defensive Midfield,Grégory Sertic,1989-08-05,28,France,Marseille,Ligue 1
29,Defensive Midfield,André Zambo Anguissa,1995-11-16,22,Cameroon,Marseille,Ligue 1
4,Defensive Midfield,Boubacar Kamara,1999-11-23,18,France,Marseille,Ligue 1
8,Central Midfield,Morgan Sanson,1994-08-18,23,France,Marseille,Ligue 1
27,Central Midfield,Maxime López,1997-12-04,20,France,Marseille,Ligue 1
10,Attacking Midfield,Dimitri Payet,1987-03-29,30,France,Marseille,Ligue 1
5,Left Wing,Lucas Ocampos,1994-07-11,23,Argentina,Marseille,Ligue 1
26,Right Wing,Florian Thauvin,1993-01-26,24,France,Marseille,Ligue 1
17,Right Wing,Bouna Sarr,1992-01-31,25,Guinea,Marseille,Ligue 1
15,Right Wing,Yusuf Sari,1998-11-20,19,France,Marseille,Ligue 1
11,Centre-Forward,Konstantinos Mitroglou,1988-03-12,29,Greece,Marseille,Ligue 1
28,Centre-Forward,Valère Germain,1990-04-17,27,France,Marseille,Ligue 1
14,Centre-Forward,Clinton N'Jie,1993-08-15,24,Cameroon,Marseille,Ligue 1
30,Keeper,Yoan Cardinale,1994-03-27,23,France,OGC Nice,Ligue 1
40,Keeper,Walter Benítez,1993-01-19,24,Argentina,OGC Nice,Ligue 1
16,Keeper,Simon Pouplin,1985-05-28,32,France,OGC Nice,Ligue 1
23,Centre-Back,Malang Sarr,1999-01-23,18,France,OGC Nice,Ligue 1
4,Centre-Back,Marlon,1995-09-07,22,Brazil,OGC Nice,Ligue 1
20,Centre-Back,Maxime Le Marchand,1989-10-11,28,France,OGC Nice,Ligue 1
31,Centre-Back,Dante,1983-10-18,34,Brazil,OGC Nice,Ligue 1
3,Centre-Back,Gautier Lloris,1995-07-18,22,France,OGC Nice,Ligue 1
12,Left-Back,Racine Coly,1995-12-08,22,Senegal,OGC Nice,Ligue 1
34,Left-Back,Romain Perraud,1997-09-22,20,France,OGC Nice,Ligue 1
2,Right-Back,Arnaud Souquet,1992-02-12,25,France,OGC Nice,Ligue 1
24,Right-Back,Christophe Jallet,1983-10-31,34,France,OGC Nice,Ligue 1
15,Right-Back,Patrick Burner,1996-04-11,21,France,OGC Nice,Ligue 1
21,Defensive Midfield,Nampalys Mendy,1992-06-23,25,France,OGC Nice,Ligue 1
18,Defensive Midfield,Rémi Walter,1995-04-26,22,France,OGC Nice,Ligue 1
5,Defensive Midfield,Adrien Tamèze,1994-02-04,23,France,OGC Nice,Ligue 1
33,Defensive Midfield,Albert Rafetraniaina,1996-09-09,21,Madagascar,OGC Nice,Ligue 1
6,Central Midfield,Jean Michaël Seri,1991-07-19,26,Cote d'Ivoire,OGC Nice,Ligue 1
26,Central Midfield,Vincent Koziello,1995-10-28,22,France,OGC Nice,Ligue 1
25,Central Midfield,Wylan Cyprien,1995-01-28,22,France,OGC Nice,Ligue 1
27,Central Midfield,Jean-Victor Makengo,1998-06-12,19,France,OGC Nice,Ligue 1
22,Attacking Midfield,Arnaud Lusamba,1997-01-04,21,France,OGC Nice,Ligue 1
7,Left Wing,Allan Saint-Maximin,1997-03-12,20,France,OGC Nice,Ligue 1
8,Right Wing,Pierre Lees Melou,1993-05-25,24,France,OGC Nice,Ligue 1
11,Right Wing,Bassem Srarfi,1997-06-25,20,Tunisia,OGC Nice,Ligue 1
19,Right Wing,Vincent Marcel,1997-04-09,20,France,OGC Nice,Ligue 1
9,Centre-Forward,Mario Balotelli,1990-08-12,27,Italy,OGC Nice,Ligue 1
14,Centre-Forward,Alassane Pléa,1993-03-10,24,France,OGC Nice,Ligue 1
29,Centre-Forward,Mickaël Le Bihan,1990-05-16,27,France,OGC Nice,Ligue 1
1,Keeper,Benoît Costil,1987-07-03,30,France,G. Bordeaux,Ligue 1
30,Keeper,Jérôme Prior,1995-08-08,22,France,G. Bordeaux,Ligue 1
16,Keeper,Gaëtan Poussin,1999-01-13,18,France,G. Bordeaux,Ligue 1
40,Keeper,Over Mandanda,1998-10-26,19,France,G. Bordeaux,Ligue 1
4,Centre-Back,Vukasin Jovanovic,1996-05-17,21,Serbia,G. Bordeaux,Ligue 1
14,Centre-Back,Jérémy Toulalan,1983-09-10,34,France,G. Bordeaux,Ligue 1
NA,Centre-Back,Pablo,1991-06-21,26,Brazil,G. Bordeaux,Ligue 1
6,Centre-Back,Igor Lewczuk,1985-05-30,32,Poland,G. Bordeaux,Ligue 1
26,Centre-Back,Olivier Verdon,1995-10-05,22,Benin,G. Bordeaux,Ligue 1
31,Centre-Back,Jules Koundé,1998-11-12,19,France,G. Bordeaux,Ligue 1
3,Left-Back,Diego Contento,1990-05-01,27,Germany,G. Bordeaux,Ligue 1
29,Left-Back,Maxime Poundjé,1992-08-16,25,France,G. Bordeaux,Ligue 1
21,Left-Back,Théo Pellenard,1994-03-04,23,France,G. Bordeaux,Ligue 1
20,Right-Back,Youssouf Sabaly,1993-03-05,24,Senegal,G. Bordeaux,Ligue 1
2,Right-Back,Milan Gajic,1996-01-28,21,Serbia,G. Bordeaux,Ligue 1
10,Defensive Midfield,Soualiho Meïté,1994-03-17,23,France,G. Bordeaux,Ligue 1
5,Defensive Midfield,Otávio,1994-05-04,23,Brazil,G. Bordeaux,Ligue 1
23,Central Midfield,Valentín Vada,1996-03-06,21,Argentina,G. Bordeaux,Ligue 1
13,Central Midfield,Younousse Sankharé,1989-09-10,28,Senegal,G. Bordeaux,Ligue 1
19,Central Midfield,Lukas Lerager,1993-07-12,24,Denmark,G. Bordeaux,Ligue 1
18,Central Midfield,Jaroslav Plasil,1982-01-05,36,Czech Republic,G. Bordeaux,Ligue 1
17,Attacking Midfield,Matheus Pereira,1998-02-25,19,Brazil,G. Bordeaux,Ligue 1
32,Attacking Midfield,Zaydou Youssouf,1999-07-11,18,France,G. Bordeaux,Ligue 1
11,Left Wing,François Kamano,1996-05-01,21,Guinea,G. Bordeaux,Ligue 1
7,Right Wing,Malcom,1997-02-26,20,Brazil,G. Bordeaux,Ligue 1
22,Right Wing,Jonathan Cafú,1991-07-10,26,Brazil,G. Bordeaux,Ligue 1
12,Centre-Forward,Nicolas de Préville,1991-01-08,27,France,G. Bordeaux,Ligue 1
24,Centre-Forward,Gaëtan Laborde,1994-05-03,23,France,G. Bordeaux,Ligue 1
15,Centre-Forward,Alexandre Mendy,1994-03-20,23,France,G. Bordeaux,Ligue 1
16,Keeper,Stéphane Ruffier,1986-09-27,31,France,Saint-Étienne,Ligue 1
1,Keeper,Anthony Maisonnial,1998-03-23,19,France,Saint-Étienne,Ligue 1
30,Keeper,Jessy Moulin,1986-01-13,31,France,Saint-Étienne,Ligue 1
40,Keeper,Alexis Guendouz,1996-01-26,21,France,Saint-Étienne,Ligue 1
24,Centre-Back,Loïc Perrin,1985-08-07,32,France,Saint-Étienne,Ligue 1
19,Centre-Back,Florentin Pogba,1990-08-19,27,Guinea,Saint-Étienne,Ligue 1
4,Centre-Back,Léo Lacroix,1992-02-27,25,Switzerland,Saint-Étienne,Ligue 1
11,Left-Back,Gabriel Silva,1991-05-13,26,Brazil,Saint-Étienne,Ligue 1
12,Left-Back,Cheikh M'Bengue,1988-07-23,29,Senegal,Saint-Étienne,Ligue 1
3,Left-Back,Alexandros Katranis,1998-05-04,19,Greece,Saint-Étienne,Ligue 1
2,Right-Back,Kévin Théophile-Catherine,1989-10-28,28,Martinique,Saint-Étienne,Ligue 1
29,Right-Back,Ronaël Pierre-Gabriel,1998-06-13,19,France,Saint-Étienne,Ligue 1
15,Right-Back,Saidy Janko,1995-10-22,22,Switzerland,Saint-Étienne,Ligue 1
8,Defensive Midfield,Assane Dioussé,1997-09-20,20,Senegal,Saint-Étienne,Ligue 1
20,Defensive Midfield,Hernani,1994-03-27,23,Brazil,Saint-Étienne,Ligue 1
17,Defensive Midfield,Ole Selnaes,1994-07-07,23,Norway,Saint-Étienne,Ligue 1
5,Defensive Midfield,Vincent Pajot,1990-08-19,27,France,Saint-Étienne,Ligue 1
7,Central Midfield,Bryan Dabo,1992-02-18,25,France,Saint-Étienne,Ligue 1
13,Central Midfield,Habib Maïga,1996-01-01,22,Cote d'Ivoire,Saint-Étienne,Ligue 1
10,Attacking Midfield,Rémy Cabella,1990-03-08,27,France,Saint-Étienne,Ligue 1
22,Left Wing,Kévin Monnet-Paquet,1988-08-19,29,France,Saint-Étienne,Ligue 1
14,Right Wing,Jonathan Bamba,1996-03-26,21,France,Saint-Étienne,Ligue 1
21,Right Wing,Romain Hamouma,1987-03-29,30,France,Saint-Étienne,Ligue 1
9,Centre-Forward,Loïs Diony,1992-12-20,25,France,Saint-Étienne,Ligue 1
36,Centre-Forward,Robert Beric,1991-06-17,26,Slovenia,Saint-Étienne,Ligue 1
23,Centre-Forward,Alexander Söderlund,1987-08-03,30,Norway,Saint-Étienne,Ligue 1
40,Keeper,Alban Lafont,1999-01-23,18,France,Toulouse,Ligue 1
1,Keeper,Mauro Goicoechea,1988-03-27,29,Uruguay,Toulouse,Ligue 1
16,Keeper,Marc Vidal,1991-06-03,26,France,Toulouse,Ligue 1
5,Centre-Back,Issa Diop,1997-01-09,21,France,Toulouse,Ligue 1
6,Centre-Back,Christopher Jullien,1993-03-22,24,France,Toulouse,Ligue 1
20,Centre-Back,Steeve Yago,1992-12-16,25,Burkina Faso,Toulouse,Ligue 1
18,Centre-Back,Steven Fortes,1992-04-17,25,Cape Verde,Toulouse,Ligue 1
29,Left-Back,François Moubandje,1990-06-21,27,Switzerland,Toulouse,Ligue 1
2,Right-Back,Kelvin Amian,1998-02-08,19,France,Toulouse,Ligue 1
13,Right-Back,Clément Michelin,1997-05-11,20,France,Toulouse,Ligue 1
25,Defensive Midfield,Giannelli Imbula,1992-09-12,25,France,Toulouse,Ligue 1
27,Defensive Midfield,Alexis Blin,1996-09-16,21,France,Toulouse,Ligue 1
23,Defensive Midfield,Yann Bodiger,1995-02-09,22,France,Toulouse,Ligue 1
4,Defensive Midfield,Yannick Cahuzac,1985-01-18,32,France,Toulouse,Ligue 1
14,Defensive Midfield,Jordan Sebban,1997-01-06,21,France,Toulouse,Ligue 1
19,Central Midfield,Somália,1988-09-28,29,Brazil,Toulouse,Ligue 1
17,Central Midfield,Ibrahim Sangaré,1997-12-02,20,Cote d'Ivoire,Toulouse,Ligue 1
12,Left Midfield,Issiaga Sylla,1994-01-01,24,Guinea,Toulouse,Ligue 1
26,Attacking Midfield,Quentin Boisgard,1997-03-17,20,France,Toulouse,Ligue 1
