player_name,position,date_of_birth,age,nationality,club_name,league_name,season,year
Brandon Fleming,Left-Back,1999-12-03,19,England,Bolton Wanderers,League One,2019/2020,2019
Joe Bunney,Left-Back,1993-09-26,25,England,Bolton Wanderers,League One,2019/2020,2019
Adam Chicksen,Left-Back,1991-09-27,27,Zimbabwe,Bolton Wanderers,League One,2019/2020,2019
Joe White,Left-Back,2002-01-18,17,England,Bolton Wanderers,League One,2019/2020,2019
Myles Edmondson,Left-Back,2001-10-15,17,England,Bolton Wanderers,League One,2019/2020,2019
Josh Emmanuel,Right-Back,1997-08-18,21,England,Bolton Wanderers,League One,2019/2020,2019
Liam Bridcutt,Defensive Midfield,1989-05-08,30,Scotland,Bolton Wanderers,League One,2019/2020,2019
Jason Lowe,Defensive Midfield,1991-09-02,27,England,Bolton Wanderers,League One,2019/2020,2019
Sonny Graham,Defensive Midfield,2002-06-10,17,England,Bolton Wanderers,League One,2019/2020,2019
Luke Murphy,Central Midfield,1989-10-21,29,England,Bolton Wanderers,League One,2019/2020,2019
Ali Crawford,Central Midfield,1991-07-30,27,Scotland,Bolton Wanderers,League One,2019/2020,2019
Jacob Mellis,Central Midfield,1991-01-08,28,England,Bolton Wanderers,League One,2019/2020,2019
Ethan Hamilton,Central Midfield,1998-10-18,20,Scotland,Bolton Wanderers,League One,2019/2020,2019
George Thomason,Central Midfield,2002-01-12,17,England,Bolton Wanderers,League One,2019/2020,2019
Callum King-Harmes,Right Midfield,2002-04-19,17,Wales,Bolton Wanderers,League One,2019/2020,2019
James Weir,Left Midfield,1995-08-04,23,England,Bolton Wanderers,League One,2019/2020,2019
Anthony Georgiou,Left Midfield,1997-02-24,22,Cyprus,Bolton Wanderers,League One,2019/2020,2019
Erhun Oztumer,Attacking Midfield,1991-05-29,28,England,Bolton Wanderers,League One,2019/2020,2019
Regan Riley,Attacking Midfield,2002-11-12,16,England,Bolton Wanderers,League One,2019/2020,2019
Ronan Darcy,Attacking Midfield,2000-11-04,18,England,Bolton Wanderers,League One,2019/2020,2019
Joe Dodoo,Left Winger,1995-06-29,24,England,Bolton Wanderers,League One,2019/2020,2019
Dennis Politic,Left Winger,2000-03-05,19,Romania,Bolton Wanderers,League One,2019/2020,2019
Finlay Lockett,Left Winger,2003-04-10,16,England,Bolton Wanderers,League One,2019/2020,2019
Will Buckley,Right Winger,1989-11-21,29,England,Bolton Wanderers,League One,2019/2020,2019
Thibaud Verlinden,Right Winger,1999-07-09,19,Belgium,Bolton Wanderers,League One,2019/2020,2019
Jay Fitzmartin,Right Winger,NA,NA,England,Bolton Wanderers,League One,2019/2020,2019
Daryl Murphy,Centre-Forward,1983-03-15,36,Ireland,Bolton Wanderers,League One,2019/2020,2019
Chris O'Grady,Centre-Forward,1986-01-25,33,England,Bolton Wanderers,League One,2019/2020,2019
Faal Muhammadu,Centre-Forward,1997-07-01,22,England,Bolton Wanderers,League One,2019/2020,2019
De'Marlio Brown-Sterling,Centre-Forward,2001-09-12,17,England,Bolton Wanderers,League One,2019/2020,2019
Connor Hall,Centre-Forward,1998-02-18,21,England,Bolton Wanderers,League One,2019/2020,2019
Eddie Brown,Centre-Forward,2000-11-27,18,England,Bolton Wanderers,League One,2019/2020,2019
Alex Cairns,Goalkeeper,1993-01-04,26,England,Fleetwood Town,League One,2019/2020,2019
Matt Gilks,Goalkeeper,1982-06-04,37,Scotland,Fleetwood Town,League One,2019/2020,2019
Szymon Czajor,Goalkeeper,2001-09-19,17,Poland,Fleetwood Town,League One,2019/2020,2019
James Cottam,Goalkeeper,2000-09-07,18,England,Fleetwood Town,League One,2019/2020,2019
Billy Crellin,Goalkeeper,2000-06-30,19,England,Fleetwood Town,League One,2019/2020,2019
Harrison Holgate,Defender,2000-07-01,19,England,Fleetwood Town,League One,2019/2020,2019
Jimmy Dunne,Centre-Back,1997-10-19,21,Ireland,Fleetwood Town,League One,2019/2020,2019
Ashley Eastham,Centre-Back,1991-03-22,28,England,Fleetwood Town,League One,2019/2020,2019
Harry Souttar,Centre-Back,1998-10-22,20,Australia,Fleetwood Town,League One,2019/2020,2019
Peter Clarke,Centre-Back,1982-01-03,37,England,Fleetwood Town,League One,2019/2020,2019
Lewis Gibson,Centre-Back,2000-07-19,18,England,Fleetwood Town,League One,2019/2020,2019
James Hill,Centre-Back,2002-01-10,17,England,Fleetwood Town,League One,2019/2020,2019
Danny Andrew,Left-Back,1990-12-23,28,England,Fleetwood Town,League One,2019/2020,2019
Eddie Clarke,Left-Back,1998-12-29,20,England,Fleetwood Town,League One,2019/2020,2019
Ryan Rydel,Left-Back,2001-02-09,18,England,Fleetwood Town,League One,2019/2020,2019
Lewie Coyle,Right-Back,1995-10-15,23,England,Fleetwood Town,League One,2019/2020,2019
Macauley Southam-Hales,Right-Back,1996-02-02,23,Wales,Fleetwood Town,League One,2019/2020,2019
Carl Johnston,Midfielder,2002-05-29,17,Northern Ireland,Fleetwood Town,League One,2019/2020,2019
Barry Baggley,Midfielder,2002-01-11,17,Northern Ireland,Fleetwood Town,League One,2019/2020,2019
Jay Matete,Midfielder,2001-02-11,18,England,Fleetwood Town,League One,2019/2020,2019
Lawrence Smith,Midfielder,2000-09-19,18,England,Fleetwood Town,League One,2019/2020,2019
Callum Connolly,Defensive Midfield,1997-09-23,21,England,Fleetwood Town,League One,2019/2020,2019
Glenn Whelan,Defensive Midfield,1984-01-13,35,Ireland,Fleetwood Town,League One,2019/2020,2019
Dean Marney,Central Midfield,1984-01-31,35,England,Fleetwood Town,League One,2019/2020,2019
Jordan Rossiter,Central Midfield,1997-03-24,22,England,Fleetwood Town,League One,2019/2020,2019
Kyle Dempsey,Central Midfield,1995-09-17,23,England,Fleetwood Town,League One,2019/2020,2019
Paul Coutts,Central Midfield,1988-07-22,30,Scotland,Fleetwood Town,League One,2019/2020,2019
Jack Sowerby,Central Midfield,1995-03-23,24,England,Fleetwood Town,League One,2019/2020,2019
Nathan Sheron,Central Midfield,1997-10-04,21,England,Fleetwood Town,League One,2019/2020,2019
Ísak Snaer Thorvaldsson,Central Midfield,2001-05-01,18,Iceland,Fleetwood Town,League One,2019/2020,2019
Harrison Biggins,Central Midfield,1996-03-15,23,England,Fleetwood Town,League One,2019/2020,2019
Ross Wallace,Right Midfield,1985-05-23,34,Scotland,Fleetwood Town,League One,2019/2020,2019
Dan Mooney,Right Midfield,1999-07-03,19,Wales,Fleetwood Town,League One,2019/2020,2019
Josh Morris,Left Midfield,1991-09-30,27,England,Fleetwood Town,League One,2019/2020,2019
Cian Hayes,Forward,NA,NA,N/A,Fleetwood Town,League One,2019/2020,2019
Barrie McKay,Left Winger,1994-12-31,24,Scotland,Fleetwood Town,League One,2019/2020,2019
Conor McAleny,Left Winger,1992-08-12,26,England,Fleetwood Town,League One,2019/2020,2019
Ashley Hunter,Left Winger,1995-09-29,23,England,Fleetwood Town,League One,2019/2020,2019
Wes Burns,Right Winger,1994-11-23,24,Wales,Fleetwood Town,League One,2019/2020,2019
Shayden Morris,Right Winger,NA,NA,England,Fleetwood Town,League One,2019/2020,2019
Ched Evans,Centre-Forward,1988-12-28,30,Wales,Fleetwood Town,League One,2019/2020,2019
Paddy Madden,Centre-Forward,1990-03-04,29,Ireland,Fleetwood Town,League One,2019/2020,2019
Gerard Garner,Centre-Forward,1998-11-02,20,England,Fleetwood Town,League One,2019/2020,2019
Harvey Saunders,Centre-Forward,1997-07-20,21,England,Fleetwood Town,League One,2019/2020,2019
Max O'Leary,Goalkeeper,1996-10-10,22,England,Shrewsbury Town,League One,2019/2020,2019
Harry Burgoyne,Goalkeeper,1996-12-28,22,England,Shrewsbury Town,League One,2019/2020,2019
Joe Murphy,Goalkeeper,1981-08-21,37,Ireland,Shrewsbury Town,League One,2019/2020,2019
Cameron Gregory,Goalkeeper,2000-01-20,19,England,Shrewsbury Town,League One,2019/2020,2019
Sam Agius,Goalkeeper,2002-03-09,17,England,Shrewsbury Town,League One,2019/2020,2019
Aaron Pierre,Centre-Back,1993-02-17,26,Grenada,Shrewsbury Town,League One,2019/2020,2019
Ethan Ebanks-Landell,Centre-Back,1992-12-12,26,England,Shrewsbury Town,League One,2019/2020,2019
Omar Beckles,Centre-Back,1991-10-25,27,Grenada,Shrewsbury Town,League One,2019/2020,2019
Luke Waterfall,Centre-Back,1990-07-30,28,England,Shrewsbury Town,League One,2019/2020,2019
Luke Ward,Centre-Back,2001-09-25,17,England,Shrewsbury Town,League One,2019/2020,2019
Ro-Shaun Williams,Centre-Back,1998-09-03,20,England,Shrewsbury Town,League One,2019/2020,2019
Scott Golbourne,Left-Back,1988-02-29,31,England,Shrewsbury Town,League One,2019/2020,2019
Sam Hart,Left-Back,1996-09-10,22,England,Shrewsbury Town,League One,2019/2020,2019
Donald Love,Right-Back,1994-12-02,24,Scotland,Shrewsbury Town,League One,2019/2020,2019
Kayne Ramsay,Right-Back,2000-10-10,18,England,Shrewsbury Town,League One,2019/2020,2019
Ryan Sears,Right-Back,1998-12-30,20,England,Shrewsbury Town,League One,2019/2020,2019
Louis Thompson,Defensive Midfield,1994-12-19,24,Wales,Shrewsbury Town,League One,2019/2020,2019
Romain Vincelot,Defensive Midfield,1985-10-29,33,France,Shrewsbury Town,League One,2019/2020,2019
Ousmane Fané,Defensive Midfield,1993-12-13,25,France,Shrewsbury Town,League One,2019/2020,2019
Brad Walker,Defensive Midfield,1995-04-25,24,England,Shrewsbury Town,League One,2019/2020,2019
Josh Vela,Central Midfield,1993-12-14,25,England,Shrewsbury Town,League One,2019/2020,2019
David Edwards,Central Midfield,1986-02-03,33,Wales,Shrewsbury Town,League One,2019/2020,2019
Sean Goss,Central Midfield,1995-10-01,23,England,Shrewsbury Town,League One,2019/2020,2019
Josh Laurent,Central Midfield,1995-05-06,24,England,Shrewsbury Town,League One,2019/2020,2019
Luke McCormick,Central Midfield,1999-01-21,20,England,Shrewsbury Town,League One,2019/2020,2019
James Rowland,Central Midfield,2001-12-03,17,England,Shrewsbury Town,League One,2019/2020,2019
